BSE_Code,Company_Name,BSE_Verified,NSE_Code,Sector,Industry
506166,Apis India Ltd,506166,,Fast Moving Consumer Goods,Fast Moving Consumer Goods
544158,SRM CONTRACTORS LIMITED,544158,SRM,Industrials,Construction
543517,Hariom Pipe Industries Limited,543517,HARIOMPIPE,Industrials,Capital Goods
530555,Paramount Communications Ltd.,530555,PARACABLES,Industrials,Capital Goods
530079,Faze Three Ltd.,530079,FAZE3Q,Consumer Discretionary,Textiles
544534,Jaro Institute of Technology Management and Research Limited,544534,JARO,Consumer Discretionary,Consumer Services
544131,GPT Healthcare Limited,544131,GPTHEALTH,Healthcare,Healthcare
500439,Vardhman Holdings Limited,500439,VHL,Financial Services,Financial Services
544264,Diffusion Engineers Limited,544264,DIFFNKG,Industrials,Capital Goods
500304,NIIT Ltd.,500304,NIITLTD,Consumer Discretionary,Consumer Services
523229,Bharat Seats Ltd,523229,BHARATSE,Consumer Discretionary,Automobile and Auto Components
534742,ZUARI AGRO CHEMICALS LIMITED,534742,ZUARI,Commodities,Chemicals
538119,R&B Denims Limited,538119,RNBDENIMS,Consumer Discretionary,Textiles
531633,Lincoln Pharmaceuticals ltd.,531633,LINCOLN,Healthcare,Healthcare
517172,Pervasive Commodities Limited,517172,,Services,Services
544446,Advent Hotels International Limited,544446,ADVENTHTL,Consumer Discretionary,Consumer Services
544239,ECOS (India) Mobility & Hospitality Limited,544239,ECOSMOBLTY,Services,Services
507753,TGV SRAAC LIMITED,507753,,Commodities,Chemicals
531381,Arihant Foundations & Housing Ltd.,531381,ARIHANT,Consumer Discretionary,Realty
526173,Andrew Yule & Company Ltd,526173,ANDREWYU,Fast Moving Consumer Goods,Fast Moving Consumer Goods
522295,Control Print (India) Ltd.,522295,CONTROLPR,Information Technology,Information Technology
522108,Yuken India Ltd.,522108,YUKEN,Industrials,Capital Goods
544395,STL Networks Limited,544395,STLNETWORK,Telecommunication,Telecommunication
507438,IFB Agro Industries Ltd,507438,IFBAGRO,Fast Moving Consumer Goods,Fast Moving Consumer Goods
534748,Steel Exchange India Ltd.,534748,STEELXIND,Industrials,Capital Goods
505036,Automobile Corpn. of Goa Ltd.,505036,,Consumer Discretionary,Automobile and Auto Components
540692,Apex Frozen Foods Limited,540692,APEX,Fast Moving Consumer Goods,Fast Moving Consumer Goods
544202,STANLEY LIFESTYLES LIMITED,544202,STANLEY,Consumer Discretionary,Consumer Durables
544004,IRM ENERGY LIMITED,544004,IRMENERGY,Energy,"Oil, Gas & Consumable Fuels"
534369,Tribhovandas Bhimji Zaveri Limited,534369,TBZ,Consumer Discretionary,Consumer Durables
508933,AYM Syntex Limited,508933,AYMSYNTEX,Consumer Discretionary,Textiles
526666,Bhartiya International Ltd.,526666,BIL,Consumer Discretionary,Consumer Durables
526953,Venus Remedies Ltd.,526953,VENUSREM,Healthcare,Healthcare
533285,RDB INFRASTRUCTURE AND POWER LIMITED,533285,,Consumer Discretionary,Realty
540704,Matrimony.com Limited,540704,MATRIMONY,Consumer Discretionary,Consumer Services
515008,Modern Insulators Ltd.,515008,,Industrials,Capital Goods
544184,Borosil Scientific Limited,544184,BOROSCI,Industrials,Capital Goods
532699,Royal Orchid Hotels Ltd,532699,ROHLTD,Consumer Discretionary,Consumer Services
500264,Mafatlal Industries Ltd.,500264,MAFATIND,Consumer Discretionary,Textiles
531847,Asian Star Co. Ltd.,531847,ASTAR,Consumer Discretionary,Consumer Durables
543712,ABANS FINANCIAL SERVICES LIMITED,543712,AFSL,Financial Services,Financial Services
511413,CREST VENTURES LIMITED,511413,CREST,Financial Services,Financial Services
544731,RAJPUTANA STAINLESS LIMITED,544731,RSL,Industrials,Capital Goods
543389,Sigachi Industries Limited,543389,SIGACHI,Healthcare,Healthcare
526775,Valiant Communications Ltd.,526775,,Telecommunication,Telecommunication
502137,Deccan Cements Ltd.,502137,DECCANCE,Commodities,Construction Materials
523475,Lotus Chocolate Co. Ltd.,523475,,Fast Moving Consumer Goods,Fast Moving Consumer Goods
544536,Wealth First Portfolio Managers Limited,544536,WEALTH,Financial Services,Financial Services
543709,PNGS GARGI FASHION JEWELLERY LIMITED,543709,,Consumer Discretionary,Consumer Durables
526608,Electrotherm (India) Ltd,526608,ELECTHERM,Industrials,Capital Goods
512233,Jaybharat Textiles And Real Estate Limited,512233,,Consumer Discretionary,Textiles
