Eligible Companies as per Average Market Capitalisation from Nov 2025 to April 2026,,,,
Sr. No.,Scrip Code,Name of Company,,
134,532777,Info Edge(India) Ltd.,,
135,544252,Bajaj Housing Finance Limited,,
136,543396,One 97 Communications Limited,,
137,543390,PB Fintech Limited,,
138,500493,Bharat Forge Ltd,,
139,543066,SBI CARDS AND PAYMENT SERVICES LIMITED,,
140,544632,Meesho Limited,,
141,533106,Oil India Limited,,
142,543384,FSN E-Commerce Ventures Limited,,
143,540699,Dixon Technologies (India) Limited,,
144,533519,L&T Finance Limited,,
145,540611,AU Small Finance Bank Limited,,
146,524804,Aurobindo Pharma Ltd.,,
147,526371,NMDC Ltd,,
148,532779,TORRENT POWER LIMITED,,
149,512455,Lloyds Metals and Energy Limited,,
150,532149,Bank of India,,
151,532539,UNO Minda Limited,,
152,532388,Indian Overseas Bank,,
153,532187,IndusInd Bank Ltd.,,
154,532667,SUZLON ENERGY LTD.,,
155,532843,Fortis Healthcare Ltd,,
156,539523,Alkem Laboratories Limited,,
157,500469,Federal Bank Ltd.,,
158,540755,General Insurance Corporation of India,,
159,532466,Oracle Financial Services Software Limited,,
160,532648,Yes Bank Ltd.,,
161,539437,IDFC FIRST BANK LIMITED,,
162,506395,Coromandel International Limited,,
163,542649,Rail Vikas Nigam Limited,,
164,533274,Prestige Estates Projects Limited,,
165,532508,Jindal Stainless Limited,,
166,532234,National Aluminium Co. Ltd.,,
167,542066,ADANI TOTAL GAS LIMITED,,
168,500113,Steel Authority of India Ltd.,,
169,503100,The Phoenix Mills Ltd.,,
170,505790,Schaeffler India Limited,,
171,500290,M.R.F. Ltd.,,
172,512070,UPL Limited,,
173,534091,Multi Commodity Exchange of India Ltd,,
174,544429,HDB FINANCIAL SERVICES LIMITED,,
175,500488,Abbott India Ltd.,,
176,533273,OBEROI REALTY LIMITED,,
177,544307,Vishal Mega Mart Limited,,
178,500271,Max Financial Services Limited,,
179,532296,Glenmark Pharmaceuticals ltd,,
180,509480,Berger Paints India Ltd,,
181,500830,Colgate-Palmolive (India) Ltd.,,
182,532523,Biocon Ltd.,,
183,500368,Patanjali Foods Limited,,
184,540767,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,,
185,543994,JSW Infrastructure Limited,,
186,533150,Godrej Properties Limited,,
187,540222,Laurus Labs Limited,,
188,523457,Linde India Limited,,
189,533758,APL Apollo Tubes Limited,,
190,540762,Tube Investments of India Ltd,,
191,532541,COFORGE LIMITED,,
192,541143,Bharat Dynamics Limited,,
193,532525,Bank of maharashtra,,
194,542830,Indian Railway Catering & Tourism Corporation Ltd,,
195,526299,Mphasis Limited,,
196,532892,Motilal Oswal Financial Services Limited,,
197,523642,PI Industries Limited,,
198,532720,Mahindra & Mahindra Financial Services Limited,,
199,500483,Tata Communications Limited,,
200,513599,Hindustan Copper Ltd.,,
201,509930,Supreme Industries Ltd.,,
202,500575,Voltas Ltd.,,
203,543278,Kalyan Jewellers India Limited,,
204,502355,Balkrishna Industries Ltd.,,
205,542772,360 ONE WAM LIMITED,,
206,539177,Authum Investment & Infrastructure Limited,,
207,532644,J.K. CEMENT LTD,,
208,532478,United Breweries Ltd.,,
209,532522,PETRONET LNG LTD.,,
210,500660,GlaxoSmithkline Pharmaceuticals Ltd.,,
211,517569,KEI Industries Ltd.,,
212,540115,L&T Technology Services Limited,,
213,540530,Housing &Urban Development Corporation Ltd.,,
214,532830,ASTRAL LIMITED,,
215,540678,Cochin Shipyard Limited,,
216,532497,Radico Khaitan Ltd.,,
217,532827,Page Industries Ltd.,,
218,544238,Premier Energies Limited,,
219,500495,Escorts Kubota Limited,,
220,544597,Piramal Finance Limited,,
221,523395,3M India Ltd.,,
222,531344,Container Corporation Of India Ltd.,,
223,500459,Procter & Gamble Hygiene & Health Care Ltd.,,
224,544325,ITC Hotels Limited,,
225,542216,DALMIA BHARAT LIMITED,,
226,532259,Apar Industries Ltd,,
227,544362,Hexaware Technologies Limited,,
228,500411,Thermax Ltd.,,
229,544449,Anthem Biosciences Limited,,
230,542812,Gujarat Fluorochemicals Limited,,
231,524494,Ipca Laboratories Ltd.,,
232,539551,Narayana Hrudayalaya Limited,,
233,500067,Blue Star Ltd,,
234,544026,Indian Renewable Energy Development Agency Limited,,
235,500163,Godfrey Phillips India Ltd.,,
236,524000,POONAWALLA FINCORP LIMITED,,
237,513683,NLC India Limited,,
238,532505,UCO Bank,,
239,532683,AIA Engineering Ltd.,,
240,540153,Endurance Technologies Limited,,
241,533155,Jubilant Foodworks Limited,,
242,532331,Ajanta Pharma Ltd.,,
243,501301,Tata Investment Corporation Ltd.,,
244,532885,Central Bank of India,,
245,500164,Godrej Industries Ltd.,,
246,540975,Aster DM Healthcare Limited,,
247,544609,Physicswallah Limited,,
248,500092,CRISIL Ltd.,,
249,504973,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,,
250,532889,K.P.R. Mill Ltd.,,
251,543529,Delhivery Limited,,
252,543300,Sona BLW Precision Forgings Limited,,
253,532504,Navin Fluorine International Limited,,
254,544179,Go Digit General Insurance Limited,,
255,500410,ACC Ltd,,
256,500408,Tata Elxsi Ltd,,
257,543654,Global Health Limited,,
258,500877,Apollo Tyres Ltd,,
259,506943,J.B. Chemicals & Pharmaceuticals Lt,,
260,500109,Mangalore Refinery & Petrochemicals,,
261,533206,SJVN LIMITED,,
262,520056,TVS Holdings Limited,,
263,500086,Exide Industries Ltd.,,
264,500253,Lic Housing Finance Ltd.,,
265,543426,Metro Brands Limited,,
266,543498,Motherson Sumi Wiring India Limited,,
267,543245, Gland Pharma Limited,,
268,542011,Garden Reach Shipbuilders & Engineers Limited,,
269,517174,Honeywell Automation India Ltd.,,
270,543664,KAYNES TECHNOLOGY INDIA LIMITED,,
271,543458,AWL AGRI BUSINESS LIMITED,,
272,544210,Emcure Pharmaceuticals Limited,,
273,523610,ITI Limited (Indian Teleph.Ind.Ltd),,
274,543412,Star Health and Allied Insurance Company Limited,,
275,534309,NBCC (India) Limited,,
276,544397,Ather Energy Limited,,
277,533023,ZF Commercial Vehicle Control Systems India Limited,,
278,539336,Gujarat Gas Limited,,
279,544309,INVENTURUS KNOWLEDGE SOLUTIONS LIMITED,,
280,542651,KPIT Technologies Ltd,,
281,507815,Gillette India Ltd.,,
282,543308,Krishna Institute of Medical Sciences Limited,,
283,500033,Force Motors Limited,,
284,539006,PTC Industries Ltd.,,
285,543415,Anand Rathi Wealth Limited,,
286,532947,IRB Infrastructure Developers Limited,,
287,541153,Bandhan Bank Limited,,
288,540769,The New India Assurance Company Limited,,
289,544028,Tata Technologies Limited,,
290,532514,Indraprashtha Gas Ltd.,,
291,544407,AEGIS VOPAK TERMINALS LIMITED,,
292,500003,Aegis Logistics Ltd.,,
293,543988,Nuvama Wealth Management Limited,,
294,500260,The Ramco Cements Limited,,
295,543374,Aditya Birla Sun Life AMC Limited,,
296,540902,Amber Enterprises India Limited,,
297,544606,Pine Labs Limited,,
298,531213,Manappuram Finance Limited,,
299,539524,Dr. Lal Pathlabs Limited,,
300,522113,Timken India Ltd,,
301,515030,Asahi India Glass Ltd.,,
302,543235,ANGEL ONE LIMITED,,
303,500184,Himadri Speciality Chemical Ltd.,,
304,543299,Shyam Metalics and Energy Limited,,
305,540173,PNB Housing Finance Limited,,
306,532733,SUN TV NETWORK LIMITED,,
307,532144,Welspun Corp Limited,,
308,532636,IIFL FINANCE LIMITED ,,
309,500680,Pfizer Ltd.,,
310,542752,AFFLE 3I LIMITED,,
311,517271,HBL ENGINEERING LIMITED,,
312,532300,Wockhardt Ltd,,
313,543635,PIRAMAL PHARMA LIMITED,,
314,544282,Sagility Limited,,
315,540680,KIOCL Limited,,
316,506820,AstraZeneca Pharma India Ltd.,,
317,506401,Deepak Nitrite Limited,,
318,500084,CESC Limited,,
319,542920,SUMITOMO CHEMICAL INDIA LIMITED,,
320,531531,Hatsun Agro Products Ltd.,,
321,500840,EIH Ltd,,
322,544612,Tenneco Clean Air India Limited,,
323,531162,Emami Ltd,,
324,539268,Syngene International Limited,,
325,544176,Aadhar Housing Finance Limited,,
326,506285,Bayer CropScience Limited.,,
327,541770,CreditAccess Grameen Ltd.,,
328,532809,Firstsource Solutions Ltd.,,
329,532805,Redington Limited,,
330,532210,City Union Bank Ltd,,
331,522287,KALPATARU PROJECTS INTERNATIONAL LIMITED,,
332,540596,Eris Lifesciences Limited,,
333,544467,National Securities Depository Limited,,
334,544081,Jyoti CNC Automation Limited,,
335,532929,Brigade Enterprises Limited,,
336,534139,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,,
337,544306,Sai Life Sciences Limited,,
338,544466,Aditya Infotech Limited,,
339,515055,Anant Raj Limited,,
340,540065,RBL Bank Limited,,
341,539083,Inox Wind Limited,,
342,533295,PUNJAB & SIND BANK,,
343,543945,NETWEB TECHNOLOGIES INDIA LIMITED,,
344,532642,JSW Holdings Limited,,
345,500403,Sundram Fasteners Ltd.,,
346,500770,Tata Chemicals Ltd,,
347,544515,Urban Company Limited,,
348,532927,eClerx Services Limited,,
349,533293,Kirloskar Oil Engines Limited,,
350,524558,Neuland Laboratories Limited.,,
351,500870,Castrol India Ltd,,
352,532748,Prime Focus Limited,,
353,542399,Chalet Hotels Limited,,
354,504614,Sarda Energy & Minerals Ltd,,
355,532181,Gujarat Mineral Development Corpora,,
356,500620,Great Eastern Shipping Co. Ltd.,,
357,500027,Atul Limited.,,
358,523367,DCM Shriram Limited,,
359,543232,Computer Age Management Services Limited,,
360,500085,Chambal Fertilisers & Chemicals Ltd,,
361,544292,Onesource Specialty Pharma Limited,,
362,532734,GODAWARI POWER AND ISPAT LTD.,,
363,543276,Craftsman Automation Limited,,
364,543720,KFin Technologies Limited,,
365,506076,Grindwell Norton Ltd.,,
366,500165,Kansai Nerolac Paints,,
367,531595,Capri Global Capital Limited,,
368,532714,KEC International Ltd.,,
369,532548,Century Plyboards (India) Ltd.,,
370,543653,Bikaji Foods International Limited,,
371,543064,Cohance Lifesciences Limited,,
372,532756,CIE Automotive India Limited,,
373,524816,Natco Pharma Ltd.,,
374,543428,Data Patterns (India) Limited,,
375,500125,E.I.D. Parry (India) Ltd.,,
376,500040,ADITYA BIRLA REAL ESTATE LIMITED,,
377,544480,JSW CEMENT LIMITED,,
378,539876,Crompton Greaves Consumer Electricals Limited,,
379,500042,BASF India Ltd,,
380,544321,Ventive Hospitality Limited,,
381,500233,Kajaria Ceramics Ltd,,
382,532702,Gujarat State Petronet Ltd.,,
383,520111,Ratnamani Metals & Tubes Ltd,,
384,544678,BHARAT COKING COAL LIMITED,,
385,533655,Triveni Turbine Limited,,
386,543349,ACUTAAS CHEMICALS LIMITED,,
387,513023,NAVA LIMITED,,
388,543981,R R KABEL LIMITED,,
389,531768,Poly Medicure Ltd,,
390,544443,TRAVEL FOOD SERVICES LIMITED,,
391,513375,Carborundum Universal Ltd.,,
392,533581,PG Electroplast Limited,,
393,531358,Choice International Ltd,,
394,544405,BELRISE INDUSTRIES LIMITED,,
395,500008,Amara Raja Energy & Mobility Limited,,
396,500252,LMW Limited,,
397,533573,ALEMBIC PHARMACEUTICALS LIMITED,,
398,543330,Devyani International Limited,,
399,530019,JUBILANT PHARMOVA LIMITED,,
400,544174,TBO TEK LIMITED,,
401,522074,Elgi Equipments Ltd.,,
402,524200,Vinati Organics Ltd.,,
403,543573,Syrma SGS Technology Limited,,
404,500266,Maharashtra Scooters Ltd.,,
405,532784,Sobha Limited,,
406,500878,Ceat Ltd.,,
407,544225,Ola Electric Mobility Limited,,
408,544203,Allied Blenders and Distillers Limited,,
409,544350,Dr. Agarwal's Health Care Limited,,
410,500106,IFCI Ltd.,,
411,544608,Emmvee Photovoltaic Power Limited,,
412,544283,ACME Solar Holdings Limited,,
413,544045,DOMS Industries Limited,,
414,504067,Zensar Technologies Ltd.,,
415,524208,Aarti Industries Ltd,,
416,500645,Deepak Fertilizers &Petrochemicals,,
417,543663,Five-Star Business Finance Ltd.,,
418,500048,BEML Ltd,,
419,544700,Fractal Analytics Limited,,
420,532953,V-Guard Industries Ltd.,,
421,532726,GALLANTT ISPAT LIMITED,,
422,532482,Granules India Ltd.,,
423,543275,Anupam Rasayan India Limited,,
424,504346,RRP SEMICONDUCTOR LIMITED,,
425,541956,IRCON International Ltd,,
426,544311,International Gemological Institute Limited,,
427,544408,Leela Palaces Hotels & Resorts Limited,,
428,544537,Jain Resource Recycling Limited,,
429,505714,Gabriel India Ltd.,,
430,500710,JSW Dulux Limited,,
431,512573,Avanti Feeds ltd.,,
432,502986,Vardhman Textiles Limted,,
433,544226,Brainbees Solutions Limited,,
434,500110,Chennai Petroleum Corporation Ltd.,,
435,544286,NIVA BUPA HEALTH INSURANCE COMPANY LIMITED,,
436,531335,Zydus Wellness Limited,,
437,532605,JBM Auto Limited,,
438,544403,Aditya Birla Lifestyle Brands Limited,,
439,532783,LT Foods Limited,,
440,524742,Caplin Point Laboratories Ltd.,,
441,543238,UTI Asset Management Company Limited,,
442,543990,SIGNATUREGLOBAL (INDIA) LIMITED,,
443,519600,CCL Products (India) Ltd.,,
444,541557,Fine Organic Industries Limited,,
445,500249,KSB LIMITED,,
446,538962,Minda Corporation Limited,,
447,521064,Trident Ltd,,
448,544344,SHRIRAM PISTONS & RINGS LTD,,
449,542726,IndiaMART InterMESH Limited,,
450,544583,Canara HSBC Life Insurance Company Limited,,
451,530007,JK Tyre & Industries Ltd.,,
452,517146,Usha Martin Ltd.,,
453,543530,Paradeep Phosphates Limited,,
454,526612,Blue Dart Express Ltd.,,
455,543960,Concord Biotech Limited,,
456,523405,JM Financial Limited,,
457,543413,Tega Industries Limited,,
458,543335,Aptus Value Housing Finance India Limited,,
459,542141,Techno Electric & Engineering Company Limited,,
460,543534,Aether Industries Limited,,
461,544280,Afcons Infrastructure Limited,,
462,500241,Kirloskar Brothers Ltd.,,
463,530005,India Cements Ltd.,,
464,532939,Reliance Power Limited,,
465,543524,Rainbow Children's Medicare Limited,,
466,503310,Swan Corp Limited,,
467,539533,ELITECON INTERNATIONAL LIMITED,,
468,535789,Sammaan Capital Limited,,
469,533339,Zen Technologies Ltd.,,
470,533553,TD Power Systems Ltd,,
471,514162,WELSPUN LIVING LIMITED,,
472,533272,JUPITER WAGONS LIMITED,,
473,500144,Finolex Cables Ltd.,,
474,500405,Supreme Petrochem Ltd.,,
475,544739,Central Mine Planning & Design Institute Limited,,
476,509488,Graphite India Ltd.,,
477,533282,GRAVITA INDIA LIMITED,,
478,543358,Sansera Engineering Limited,,
479,532209,Jammu and Kashmir Bank Ltd.,,
480,544578,RUBICON RESEARCH LIMITED,,
481,543463,Vedant Fashions Limited,,
482,544572,SKF INDIA (INDUSTRIAL) LIMITED,,
483,501425,The Bombay Burmah Trading Corporation Ltd.,,
484,540073,BLS International Services Ltd,,
485,538835,INTELLECT DESIGN ARENA LIMITED,,
486,543334,Nuvoco Vistas Corporation Limited,,
487,543768,NMDC Steel Limited,,
488,544172,Indegene Limited,,
489,500238,Whirlpool of India Ltd,,
490,540750,Indian Energy Exchange Limited,,
491,509496,Cemindia Projects Limited,,
492,511196,Can Fin Homes Ltd.,,
493,530117,PRIVI SPECIALITY CHEMICALS LIMITED,,
494,500378,Jindal Saw Ltd.,,
495,500210,Ingersoll-Rand (India) Ltd.,,
496,543259,Home First Finance Company India Limited,,
497,532175,Cyient Limited,,
498,532627,Jaiprakash Power Ventures Limited,,
499,506590,PCBL Chemical Limited,,
500,543322,ALIVUS LIFE SCIENCES LIMITED,,
501,543333,CarTrade Tech Limited,,
502,532178,Engineers India Ltd.,,
503,523598,Shipping Corporation Of India Ltd,,
504,544288,BlackBuck Limited,,
505,540743,Godrej Agrovet Limited,,
506,530843,Cupid Limited,,
507,532400,BIRLASOFT LIMITED,,
508,541988,AAVAS Financiers Limited,,
509,500043,Bata India Limited,,
510,544012,Cello World Limited,,
511,539957,Mahanagar Gas Limited,,
512,542904,Ujjivan Small Finance Bank Limited,,
513,500183,HFCL LIMITED,,
514,533158,Thangamayil Jewellery Limited,,
515,500940,Finolex Industries Ltd.,,
516,544057,Happy Forgings Limited,,
517,543959,SBFC Finance Limited,,
518,544046,INOX India Limited,,
519,532762,Action Construction Equipments Ltd.,,
520,541556,RITES Limited,,
521,509631,HEG Ltd.,,
522,541233,Lemon Tree Hotels Limited,,
523,544717,Clean Max Enviro Energy Solutions Limited,,
524,544061,Azad Engineering Limited,,
525,532796,Lumax Auto Technologies Ltd.,,
526,532922,Edelweiss Financial Services Ltd.,,
527,543265,RailTel Corporation of India Limited,,
528,543482,Eureka Forbes Limited,,
529,543271,Jubilant Ingrevia Limited,,
530,532966,TITAGARH RAIL SYSTEMS LIMITED,,
531,532218,South Indian Bank Ltd.,,
532,543527,Prudent Corporate Advisory Services Limited,,
533,544250,Sanofi Consumer Healthcare India Limited,,
534,504918,Sandur Manganese & Iron Ores Ltd.,,
535,543350,Vijaya Diagnostic Centre Limited,,
536,501423,Shaily Engineering Plastics Ltd.,,
537,505700,Elecon Engineering Co.Ltd.,,
538,532689,PVR INOX LIMITED,,
539,534618,WAAREE RENEWABLE TECHNOLOGIES LIMITED,,
540,543427,Medplus Health Services Limited,,
541,500294,NCC Limited,,
542,543270,MTAR Technologies Limited,,
543,542773,IIFL CAPITAL SERVICES LIMITED,,
544,542650,Metropolis Healthcare Limited,,
545,520113,Vesuvius India Ltd.,,
546,507205,Tilaknagar Industries Ltd,,
547,532527,ramkrishna forgings Ltd.,,
548,543280,Nazara Technologies Limited,,
549,532926,JYOTHY LABS LIMITED,,
550,544634,Aequs Limited,,
551,523025,Safari Industries (India) Ltd.,,
552,544014,Honasa Consumer Limited,,
553,532439,OLECTRA GREENTECH LIMITED,,
554,540900,Newgen Software Technologies Limited,,
555,543317,G R Infraprojects Limited,,
556,544644,Corona Remedies Limited ,,
557,543596,Tamilnad Mercantile Bank Limited,,
558,500038,Balrampur Chini Mills Ltd.,,
559,500039,Banco Products (India) Ltd.,,
560,513377,MMTC Ltd.,,
561,532493,Astra Microwave Products Ltd.,,
562,500674,Sanofi India Ltd,,
563,544192,Le Travenues Technology Limited,,
564,532856,Time Technoplast Limited,,
565,539787,HealthCare Global Enterprises Limited,,
566,500101,Arvind Ltd.,,
567,500380,JK Lakshmi Cement Limited,,
568,530517,Relaxo Footwears Ltd.,,
569,500463,BLACK BOX LIMITED,,
570,534076,RHI MAGNESITA INDIA LIMITED,,
571,500126,PROCTER & GAMBLE HEALTH LIMITED,,
572,532371,Tata Teleservices (Maharashtra) Ltd.,,
573,540575,Star Cement Limited,,
574,544022,ASK Automotive Limited,,
575,543980,Jupiter Life Line Hospitals Limited,,
576,500472,SKF India Ltd.,,
577,541578,Varroc Engineering Limited,,
578,543318,Clean Science and Technology Limited,,
579,532832,EMBASSY DEVELOPMENTS LIMITED,,
580,538666,Sharda Cropchem Limited,,
581,532928,Transformers and Rectifiers (India) Limited,,
582,532468,Kama Holdings Limited,,
583,530343,Genus Power Infrastructures Ltd,,
584,500133,Esab India Ltd.,,
585,532221,Sonata Software Ltd.,,
586,544044,India Shelter Finance Corporation Limited,,
587,533107,SWAN DEFENCE AND HEAVY INDUSTRIES LIMITED,,
588,535755,Aditya Birla Fashion and Retail Limited,,
