Eligible Companies as per Average Market Capitalisation from Nov 2025 to April 2026,,,,
Sr. No.,Scrip Code,Name of Company,,
653,544619,Sudeep Pharma Limited,,
654,543532,ETHOS LIMITED,,
655,502219,BOROSIL RENEWABLES LIMITED,,
656,543667,INOX GREEN ENERGY SERVICES LIMITED,,
657,543306,Dodla Dairy Limited,,
658,539302,Power Mech Projects Limited,,
659,543657,Archean Chemical Industries Limited,,
660,500690,Gujarat State Fertilizers & Chem.Ltd,,
661,532375,TIPS MUSIC LIMITED,,
662,500670,Gujarat Narmada Valley Fert.Co.Ltd,,
663,543253,Mrs. Bectors Food Specialities Limited,,
664,543957,REDTAPE Limited,,
665,544423,Kalpataru Limited,,
666,532553,Welspun Enterprises Limited,,
667,543397,Sapphire Foods India Limited,,
668,532163,Saregama India Ltd.,,
669,540935,Galaxy Surfactants Limited,,
670,539871,Thyrocare Technologies Limited,,
671,544008,Max Estates Limited,,
672,532443,Cera Sanitaryware Ltd.,,
673,532790,TANLA PLATFORMS LIMITED,,
674,500135,EPL LIMITED,,
675,543950,YATHARTH HOSPITAL & TRAUMA CARE SERVICES LIMITED,,
676,530549,Shilpa Medicare Ltd.,,
677,533286,MOIL Limited,,
678,509557,GARWARE TECHNICAL FIBRES LIMITED,,
679,500338,PRISM JOHNSON LIMITED.,,
680,543748,Aarti Pharmalabs Limited,,
681,544613,Fujiyama Power Systems Limited,,
682,543227,Happiest Minds Technologies Limited,,
683,544367,QUALITY POWER ELECTRICAL EQUIPMENTS LIMITED,,
684,505242,Dynamatic Technologies Ltd.,,
685,540205,Aditya Vision Limited,,
686,543896,Avalon Technologies Limited,,
687,533033,ISGEC Heavy Engineering Limited,,
688,541195,Mishra Dhatu Nigam Limited,,
689,532976,Jai Balaji Industries Limited,,
690,500201,India Glycols Ltd,,
691,542484,Arvind Fashions Limited,,
692,527001,Ashapura Minechem Ltd,,
693,531599,FDC Ltd.,,
694,533160,VALOR ESTATE LIMITED,,
695,544356,AJAX Engineering Limited,,
696,540203,Sheela Foam Limited,,
697,538979,Greenlam Industries Ltd,,
698,532395,AXISCADES TECHNOLOGIES LIMITED,,
699,523323,Kovai Medical Center & Hospital Ltd,,
700,544622,Kwality Wall’s (India) Limited,,
701,539992,LLOYDS ENGINEERING WORKS LIMITED,,
702,532509,Suprajit Engineering Ltd.,,
703,524226,Gujarat Ambuja Exports Ltd.,,
704,519126,Hindustan Foods Ltd.,,
705,526367,GANESH HOUSING LIMITED,,
706,543669,Keystone Realtors Limited,,
707,532798,Network 18 Media & Investments Limited,,
708,532162,JK Paper Ltd.,,
709,522205,Praj Industries Ltd.,,
710,523704,Mastek Limited,,
711,531112,BALU FORGE INDUSTRIES LIMITED,,
712,533088,Mahindra Holidays & Resorts India Limited,,
713,532811,Ahluwalia Contracts (India) Ltd,,
714,517385,Symphony Limited,,
715,544240,Raymond Lifestyle Limited,,
716,539150,PNC Infratech Limited,,
717,532768,FIEM INDUSTRIES LIMITED,,
718,500413,Thomas Cook (India) Ltd.,,
719,532772,DCB Bank Limited,,
720,500250,L.g.Balkrishnan & Bros. Ltd.,,
721,524019,Kingfa Science & Technology (India) Ltd,,
722,544490,Shreeji Shipping Global Limited,,
723,540749,MAS Financial Services Limited,,
724,544642,Wakefit Innovations Limited,,
725,530305,Piccadily Agro Industries ltd.,,
726,512179,Sunteck Realty Ltd,,
727,532835,ICRA Limited,,
728,505192,SML Mahindra Limited,,
729,543434,Supriya Lifescience Limited,,
730,532670,Shree Renuka Sugars Ltd.,,
731,544744,Powerica Ltd.,,
732,543367,Paras Defence and Space Technologies Limited,,
733,535648,Just Dial Limited,,
734,544580,Canara Robeco Asset Management Company Limited,,
735,543387,S.J.S. Enterprises Limited,,
736,539725,Gokul Agro Resources Ltd,,
737,521016,Indo Count Industries Ltd,,
738,505726,IFB Industries Limited,,
739,532668,Aurionpro Solutions Ltd.,,
740,541967,Sky Gold And Diamonds Limited,,
741,538567,Gulf Oil Lubricants India Limited,,
742,539807,AvenuesAI Limited,,
743,500214,Ion Exchange (India) Ltd,,
744,500336,Surya Roshni Ltd.,,
745,532891,Puravankara Limited,,
746,539883,Pilani Investment And Industries Corporation Limited,,
747,532630,Gokaldas Exports Ltd,,
748,544027,Fedbank Financial Services Limited,,
749,543441,CMS Info Systems Limited,,
750,544647,Nephrocare Health Services Limited,,
751,517168,Subros Ltd.,,
752,544263,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,,
753,544447,SMARTWORKS COWORKING SPACES LIMITED,,
754,543936,Senco Gold Limited,,
755,534976,V-Mart Retail Limited,,
756,535602,Sharda Motor Industries Ltd,,
757,544526,Saatvik Green Energy Limited,,
758,500390,Reliance Infrastructure Ltd,,
759,532804,Technocraft Industries (India) Ltd.,,
760,544129,Juniper Hotels Limited,,
761,507880,V.I.P. Industries Ltd.,,
762,534597,RATTANINDIA ENTERPRISES LIMITED,,
763,544418,Oswal Pumps Limited,,
764,500355,Rallis India Ltd,,
765,523539,Precision Wires India ltd.,,
766,543332,Epigral Limited,,
767,507717,Dhanuka Agritech Ltd.,,
768,517206,Lumax Industries Ltd.,,
769,500171,GHCL Ltd.,,
770,532524,PTC India Ltd,,
771,543258,Indigo Paints Limited,,
772,520051,Jamna Auto Industries Ltd.,,
773,533122,RattanIndia Power Limited,,
774,544587,Midwest Limited,,
775,543952,NIIT Learning Systems Limited,,
776,500031,Bajaj Electricals Ltd.,,
777,512329,SG MART LIMITED,,
778,505890,Kennametal India Limtied,,
779,544122,Entero Healthcare Solutions Limited,,
780,543965,TVS Supply Chain Solutions Limited,,
781,531266,V.S.T.Tillers Tractors Ltd.,,
782,526570,Midwest Gold Ltd,,
783,505509,Responsive Industries Ltd,,
784,534804,CARE Ratings Limited,,
785,500185,Hindustan Construction Co. Ltd.,,
786,544223,Ceigall India Limited,,
787,542760,STERLING AND WILSON RENEWABLE ENERGY LIMITED,,
788,533326,Texmaco Rail & Engineering Limited,,
789,544614,Capillary Technologies India Limited,,
790,538730,PDS LIMITED,,
791,532899,Kaveri Seed Company Ltd,,
792,539118,VRL Logistics Limited,,
793,500128,Electrosteel Castings Ltd.,,
794,531500,Rajesh Exports Ltd.,,
795,532189,India Tourism Development Corporati,,
796,544322,Unimech Aerospace and Manufacturing Limited,,
797,538562,Skipper Limited,,
798,533169,MAN INFRACONSTRUCTION LIMITED,,
799,531201,Shilchar Technologies Ltd.,,
800,500307,Nirlon Limited,,
801,505255,GMM Pfaudler Ltd.,,
802,532528,Datamatics Global Services Limited,,
803,540673,SIS LIMITED,,
804,500041,Bannari Amman Sugars Ltd.,,
805,544209,Bansal Wire Industries Limited,,
806,500404,Sunflag Iron & Steel Co. Ltd.,,
807,500407,Swaraj Engines Ltd.,,
808,541019,H.G. Infra Engineering Limited,,
809,500339,Rain Industries Limited,,
810,544533,Seshaasai Technologies Limited,,
811,526433,ASM Technologies Ltd.,,
812,533229,BAJAJ CONSUMER CARE LIMITED,,
813,544439,CRIZAC LIMITED,,
814,532872,Sun Pharma Advanced Research Company Ltd.,,
815,543249,TARC LIMITED,,
816,543336,Chemplast Sanmar Limited,,
817,544118,JANA SMALL FINANCE BANK LIMITED,,
818,533271,Ashoka Buildcon Limited,,
819,533151,D.B.Corp Limited,,
820,543277,Laxmi Organic Industries Limited,,
821,500187,AGI GREENPAC LIMITED,,
822,506854,TANFAC Industries Ltd.,,
823,544421,ELLENBARRIE INDUSTRIAL GASES LIMITED,,
824,532940,J. Kumar Infraprojects Limited,,
825,532735,R Systems International Limited,,
826,508486,Hawkins Cooker Ltd.,,
827,534758,Cigniti Technologies Ltd,,
828,543533,eMudhra Limited,,
829,509966,VST Industries Ltd.,,
830,544260,Northern Arc Capital Ltd.,,
831,543626,Electronics Mart India Limited,,
832,532638,Shoppers Stop Ltd,,
833,544067,INNOVA CAPTAB LIMITED,,
834,532942,KNR Constructions Limited,,
835,532150,Indraprastha Medical Corporation Lt,,
836,542460,The Anup Engineering Ltd,,
837,526729,Goldiam International Ltd.,,
838,543985,ZAGGLE PREPAID OCEAN SERVICES LIMITED,,
839,501455,Greaves Cotton Ltd.,,
840,523630,National Fertilizers Ltd.,,
841,544550,Pace Digitek Limited,,
842,530135,Optiemus Infracom Limited,,
843,532406,Avantel Limited,,
844,501421,TechNVision Ventures Limited,,
845,520057,JTEKT India Limited,,
846,543273,Knowledge Marine & Engineering Works Limited,,
847,505872,WPIL Ltd,,
848,544454,INDIQUBE SPACES LIMITED,,
849,523398,BOSCH HOME COMFORT INDIA LIMITED,,
850,530001,Gujarat Alkalis & Chemicals Ltd.,,
851,506879,Gujarat Themis Biosyn Ltd.,,
852,533676,Indo Thai Securities Limited,,
853,532626,Pondy Oxides & Chemicals Limited,,
854,532156,Vaibhav Global Ltd,,
855,530239,Suven Life Sciences Ltd.,,
856,544455,GNG Electronics Limited,,
857,541301,Orient Electric Limited,,
858,543242,Hemisphere Properties India Limited,,
859,543971,Bondada Engineering Limited,,
860,500292,HeidelbergCement  India Limited,,
861,532407,MOSCHIP TECHNOLOGIES LIMITED,,
862,544140,Gopal Snacks Limited,,
863,542919,Artemis Medicare Services Limited,,
864,543984,Samhi Hotels Limited,,
865,543228,Route Mobile Limited,,
866,539837,RAGHAV PRODUCTIVITY ENHANCERS LIMITED,,
867,530655,Goodluck India Limited,,
868,542866,COLAB PLATFORMS LIMITED,,
869,543248,Restaurant Brands Asia Limited,,
870,544319,SENORES PHARMACEUTICALS LIMITED,,
871,530999,Balaji Amines Ltd.,,
872,517544,Centum Electronics Ltd,,
873,526951,Stylam Industries Limited,,
874,519552,Heritage Foods Limited,,
875,514440,Blue Pearl Agriventures Limited,,
876,544314,Sanathan Textiles Limited,,
877,544530,ANAND RATHI SHARE AND STOCK BROKERS LIMITED,,
878,517498,Websol Energy System Limited,,
879,521248,Kitex Garmenets Ltd.,,
880,544720,Omnitech Engineering Limited,,
881,533262,Ramky Infrastructure Limited,,
882,524709,NACL Industries Limited,,
883,506222,Styrenix Performance Materials Limited,,
884,524348,Aarti Drugs Limited,,
885,532884,Refex Industries Limited,,
886,519477,CIAN Agro Industries & Infrastructure Limited,,
887,544545,TRUALT BIOENERGY LIMITED,,
888,544232,Interarch Building Solutions Limited,,
889,539042,AGI Infra Limited,,
890,522034,Shanthi Gears Ltd.,,
891,540768,Mahindra Logistics Limited,,
892,500150,Foseco India Ltd,,
893,524372,Orchid Pharma Limited,,
894,532029,Sindhu Trade Links Limited,,
895,516072,Vishnu Chemicals Limited,,
896,532983,RPG Life Sciences Limited,,
897,519156,Vadilal Industries Ltd.,,
898,543600,Harsha Engineers International Limited,,
899,543325,Rolex Rings Limited,,
900,542665,Neogen Chemicals Limited,,
901,541336,IndoStar Capital Finance Limited,,
902,532799,Hubtown Limited,,
903,540025,Advanced Enzyme Technologies Limited,,
904,500148,Uflex Limited,,
905,503101,Marathon Nextgen Realty Ltd,,
906,538268,Wonderla Holidays Limited,,
907,500243,Kirloskar Industries Ltd,,
908,544290,ENVIRO INFRA ENGINEERS LIMITED,,
909,540725,Share India Securities Limited,,
910,532900,PAISALO DIGITAL LIMITED,,
911,542597,MSTC Limited,,
912,535754,ORIENT CEMENT LIMITED,,
913,540701,Dishman Carbogen Amcis Limited,,
914,539542,LUX Industries Limited,,
915,532924,Kolte-Patil Developers Ltd,,
916,505710,Grauer & Weil (India) Ltd.,,
917,543212,Borosil Limited,,
918,544030,Flair Writing Industries Limited,,
919,539889,Parag Milk Foods Limited,,
920,532815,SMS Pharmaceuticals Ltd,,
921,508989,Navneet Education Limited,,
922,500414,Timex Group India Ltd,,
923,500235,Kalyani Steels Ltd,,
924,500285,SpiceJet Limited,,
925,530943,Aqylon Nexus Limited,,
926,513262,Steel Strips & Wheels Ltd,,
927,513519,PITTI ENGINEERING LIMITED,,
928,540544,PSP Projects Limited,,
929,509079,Gufic BioSciences Ltd.,,
930,532256,Nalwa Sons Investment Ltd,,
931,541163,Sandhar Technologies Limited,,
932,526650,Tourism Finance Corpn. Of India Ltd,,
933,532440,MPS Limited,,
934,513349,Ajmera Realty & Infra India Limited,,
935,544355,Jubilant Agri and Consumer Products Limited,,
936,509243,TVS Srichakra Ltd.,,
937,544420,Raymond Realty Limited,,
938,542727,CITY PULSE MULTIVENTURES LIMITED,,
939,526881,63 Moons Technologies Limited,,
940,513269,Man Industries (India) Ltd,,
941,523716,Ashiana Housing Limited,,
942,526807,Seamec Ltd,,
943,512008,EFC (I) LIMITED,,
944,523319,Balmer Lawrie & Co. Ltd.,,
945,526797,Greenply Industries Ltd,,
946,539978,Quess Corp Limited,,
947,543321,Tatva Chintan Pharma Chem Limited,,
948,544088,Medi Assist Healthcare Services Limited,,
949,503960,Bharat Bijlee Ltd.,,
950,526125,BN AGROCHEM LIMITED,,
951,532732,Kewal Kiran Clothing Ltd.,,
952,544055,Muthoot Microfin Limited,,
953,543933,Cyient DLM Limited,,
954,522281,Ram Ratna Wires Ltd.,,
955,544320,CARRARO INDIA LIMITED,,
956,543542,KESAR INDIA LIMITED,,
957,544430,SAMBHV STEEL TUBES LIMITED,,
958,544161,D P ABHUSHAN LIMITED,,
959,543213,ROSSARI BIOTECH LIMITED,,
960,531449,GRM Overseas Ltd.,,
961,504882,National Standard (India) Limited,,
962,544181,Awfis Space Solutions Limited,,
963,532967,KIRI INDUSTRIES LIMITED,,
964,543489,Gateway Distriparks Limited,,
965,532054,KDDL Ltd,,
966,531719,Bhagiradha Chemicals and Industries,,
967,544066,SUNDARAM-CLAYTON LIMITED,,
968,544699,Aye Finance Limited,,
969,542907,Prince Pipes and Fittings Limited,,
970,533104,Globus Spirits Limited,,
971,524743,FISCHER MEDICAL VENTURES LIMITED,,
972,544664,KSH INTERNATIONAL LIMITED,,
973,500330,Raymond Limited,,
974,544519,EURO PRATIK SALES LIMITED,,
975,543547,DDEV PLASTIKS INDUSTRIES LIMITED,,
976,500444,West Coast Paper Mills Limited,,
977,531120,Patel Engineering Ltd,,
978,506690,Unichem Laboratories Ltd.,,
979,505010,Automotive Axles Ltd.,,
980,543620,INSOLATION ENERGY LIMITED,,
981,544333,STANDARD ENGINEERING TECHNOLOGY LIMITED,,
982,522101,Kilburn Engineering Ltd,,
983,543652,FUSION FINANCE LIMITED,,
984,543972,Aeroflex Industries Limited,,
985,532834,Camlin Fine Sciences Ltd,,
986,542857,Greenpanel Industries Limited,,
987,531543,Jindal Worldwide Ltd.,,
988,544525,GK ENERGY LIMITED,,
989,532486,Pokarna Ltd.,,
990,503811,Siyaram Silk Mills Ltd.,,
991,544396,Network People Services Technologies Limited,,
992,526247,Premier Explosives Ltd.,,
993,533333,Fineotex Chemical Limited,,
994,504212,Universal Cables Ltd.,,
995,539921,Shanti Educational Initiatives Limited,,
996,500219,Jain Irrigation Systems Ltd.,,
997,543272,Easy Trip Planners Limited,,
998,543288,Deep Industries Limited,,
999,544111,Apeejay Surrendra Park Hotels Limited,,
1000,522215,HLE GLASCOAT LIMITED,,
1001,544294,Rossell Techsys Limited,,
1002,544021,Protean eGov Technologies Limited,,
1003,539895,SPICE LOUNGE FOOD WORKS LIMITED,,
1004,539056,IMAGICAAWORLD ENTERTAINMENT LIMITED,,
1005,504341,RAVINDRA ENERGY LIMITED,,
1006,524051,Polyplex Corporation Ltd.,,
1007,523618,Dredging Corporation of India Ltd.,,
1008,530073,Sanghvi Movers Ltd.,,
1009,543686,Sirca Paints India Limited,,
1010,513097,Shivalik Bimetal Controls Ltd.,,
1011,539301,Arvind SmartSpaces Limited,,
1012,530367,NRB Bearings Ltd.,,
1013,509732,Kothari Industrial Corpn. Ltd.,,
1014,500730,NOCIL Ltd,,
1015,544402,JASH ENGINEERING LIMITED,,
1016,532369,Ramco Industries Ltd,,
1017,513228,Pennar Industries Ltd.,,
1018,532309,GE Power India Limited,,
1019,502090,Sagar Cements Ltd,,
1020,500227,Jindal Poly Films Ltd.,,
1021,523301,TCPL Packaging Limited,,
1022,517467,MARSONS LIMITED,,
1023,534392,Vardhman Special Steels Ltd,,
1024,543942,UTKARSH SMALL FINANCE BANK LIMITED,,
1025,500020,Bombay Dyeing & Mfg. Co. Ltd.,,
1026,504036,Hind Rectifiers Ltd.,,
1027,500097,Dalmia Bharat Sugar and Industries Ltd,,
1028,500215,SUNDROP BRANDS LIMITED,,
1029,544457,Brigade Hotel Ventures Limited,,
1030,542333,RPSG VENTURES LIMITED,,
1031,524735,Hikal Ltd.,,
1032,524091,CARYSIL LIMITED,,
1033,540724,Prataap Snacks Limited,,
1034,500032,Bajaj Hindusthan Sugar Limited,,
1035,500412,Thirumalai Chemicals Ltd.,,
1036,535322,Repco Home Finance Limited,,
1037,544095,EPACK Durable Limited,,
1038,500191,HMT Limited,,
1039,505744,Federal-Mogul Goetze (India) Ltd,,
1040,524667,Savita Oil Technologies Limited,,
1041,532930,BGR ENERGY SYSTEMS LIMITED,,
1042,500147,JOHN COCKERILL INDIA LIMITED,,
1043,500365,WELSPUN SPECIALTY SOLUTIONS LIMITED,,
1044,534600,JTL INDUSTRIES LIMITED,,
1045,526783,Dr.Agarwals Eye Hospital Ltd.,,
1046,506235,Alembic  Ltd,,
1047,544379,Prabha Energy Limited,,
1048,544261,ARKADE DEVELOPERS LIMITED,,
1049,544119,Rashi Peripherals Limited,,
1050,543619,Concord Control Systems Limited,,
1051,543528,Venus Pipes & Tubes Limited,,
1052,506022,Prakash Industries Ltd.,,
1053,539658,TeamLease Services Limited,,
1054,524164,IOL Chemicals & Pharmaceuticals Ltd,,
1055,507488,G.M. Breweries Ltd.,,
1056,503681,Elcid Investments Ltd.,,
1057,531508,Eveready Industries India Ltd.,,
1058,514167,Ganesha Ecosphere Limited,,
1059,540136,HPL Electric & Power Limited,,
1060,524394,Vimta Labs Ltd.,,
1061,544540,Epack Prefab Technologies Limited,,
1062,511551,Monarch Networth Capital Limited,,
1063,517300,Gujarat Industries Power Co. Ltd,,
1064,513517,Steelcast Ltd.,,
1065,532390,Taj GVK Hotels & Resorts Ltd.,,
1066,531209,Nucleus Software Exports Ltd,,
1067,539199,SG FINSERVE LIMITED,,
1068,514234,Sangam (India) Ltd,,
1069,522249,Mayur Uniquoters ltd.,,
1070,522064,HONDA INDIA POWER PRODUCTS LIMITED,,
1071,543992,YATRA ONLINE LIMITED,,
1072,522029,Windsor Machines Limited,,
1073,500306,Jaykay Enterprises Limited,,
1074,544517,Shankara Buildpro Limited,,
1075,519183,ADF Foods Limited.,,
1076,544243,Baazar Style Retail Limited,,
1077,543328,Krsnaa Diagnostics Limited,,
1078,500288,Morepen Laboratories Ltd.,,
1079,517522,Rajratan Global Wire Ltd,,
1080,539686,K.P. Energy Limited,,
1081,526947,La Opala RG Ltd.,,
1082,500052,Bhansali Engineering Polymers Ltd.,,
1083,531349,Panacea Biotec Ltd.,,
1084,502157,Mangalam Cement Ltd.,,
1085,533267,CANTABIL RETAIL INDIA LIMITED,,
1086,539450,S H Kelkar and Company Limited,,
1087,544496,Vikran Engineering Limited,,
1088,532368,BRIGHTCOM GROUP LIMITED,,
1089,543689,Uniparts India Limited,,
1090,532661,Rane (Madras)  Ltd.,,
1091,500672,Novartis India Limited.,,
1092,512068,Deccan Gold Mines Ltd.,,
1093,543401,Go Fashion (India) Limited,,
1094,544142,Shipping Corporation of India Land and Assets Limited,,
1095,538920,VINTAGE COFFEE AND BEVERAGES LIMITED,,
1096,542905,Hindware Home Innovation Limited,,
1097,540212,TCI Express Limited,,
1098,512237,Jai Corp Limited,,
1099,532430,BF Utilities Ltd.,,
1100,526227,Filatex India Ltd.,,
1101,505504,GHV INFRA PROJECTS LIMITED,,
1102,533302,Kalyani Investment Company Limited,,
1103,540710,Capacit'e Infraprojects Limited,,
1104,544512,SHRINGAR HOUSE OF MANGALSUTRA LIMITED,,
1105,544150,KP GREEN ENGINEERING LIMITED,,
1106,500108,Mahanagar Telephone Nigam Ltd.,,
1107,534535,STRING METAVERSE LIMITED,,
1108,543983,EMS LIMITED,,
1109,523127,EIH Associated Hotels Ltd.,,
1110,533344,PTC India Financial Services Limited,,
1111,533162,Hathway Cable & Datacom Limited,,
1112,506197,Bliss GVS Pharma Limited,,
1113,523385,Nilkamal Limited,,
1114,532612,Indoco Remedies Ltd.,,
1115,544224,Afcom Holdings Limited,,
1116,544532,Solarworld Energy Solutions Limited,,
1117,544599,Studds Accessories Limited,,
1118,543650,DCX Systems Limited,,
1119,533520,Indiabulls Limited,,
1120,544386,Spectrum Electrical Industries Limited,,
1121,501945,Dhenu Buildcon Infra Limited,,
1122,544742,Sai Parenteral's Limited,,
1123,523606,Sika Interplant Systems Ltd.,,
1124,523261,Venky's (India) ltd.,,
1125,543590,Rhetan TMT Limited,,
1126,543812,DIVGI TORQTRANSFER SYSTEMS LIMITED,,
1127,533644,Ujaas Energy Limited,,
1128,544470,M & B ENGINEERING LIMITED,,
1129,532859,Hinduja Global Solutions Limited,,
1130,533306,SUMMIT SECURITIES LTD.,,
1131,532698,Nitin Spinners Ltd.,,
1132,543989,Sai Silks (Kalamandir) Limited,,
1133,532722,Nitco Ltd.,,
1134,532408,SIGMA ADVANCED SYSTEMS LIMITED,,
1135,500333,Pix Transmissions Ltd.,,
1136,516038,KS Smart Technologies Limited,,
1137,522241,M.M.Forgings Ltd.,,
1138,519091,Tasty Bite Eatables Ltd.,,
1139,544042,Bajel Projects Limited,,
1140,543932,IDEAFORGE TECHNOLOGY LIMITED,,
1141,542774,MUFIN GREEN FINANCE LIMITED,,
1142,532663,Sasken Technologies Limited,,
1143,500186,Hindustan Oil Exploration Co. Ltd.,,
1144,523694,Apcotex Industries Limited,,
1145,532686,Kernex Microsystems (India) Ltd.,,
1146,504741,Indian Hume Pipe Co. Ltd.,,
1147,540797,Shalby Limited,,
1148,533080,Mold-Tek Packaging Limited,,
1149,523862,GRAND OAK CANYONS DISTILLERY LIMITED,,
1150,532851,Insecticides India Ltd.,,
1151,532285,Geojit Financial Services Limited,,
1152,500168,Goodyear India Ltd.,,
1153,532370,Ramco Systems Ltd,,
1154,500460,Mukand Ltd.,,
1155,532650,MSP STEEL & POWER LTD.,,
1156,533257,INDOSOLAR LIMITED,,
1157,544456,R M DRIP AND SPRINKLERS SYSTEMS LIMITED,,
1158,543449,WONDER ELECTRICALS LIMITED,,
1159,532268,ACCELYA SOLUTIONS INDIA LIMITED,,
1160,543714,LANDMARK CARS LIMITED,,
1161,512038,TCC CONCEPT LIMITED,,
1162,541540,SOLARA ACTIVE PHARMA SCIENCES LIMITED,,
1163,543311,India Pesticides Limited,,
1164,500314,Oriental Hotels Ltd.,,
1165,506373,Citurgia Biochemicals Ltd.,,
1166,507514,Som Distilleries & Breweries Ltd.,,
1167,504092,Indokem Ltd,,
1168,538734,CEINSYS TECH LIMITED,,
1169,524632,Shukra Pharmaceuticals Limited,,
1170,544291,RAJESH POWER SERVICES LIMITED ,,
1171,543214,NDR Auto Components Limited,,
1172,544733,GSP CROP SCIENCE LIMITED,,
1173,523838,Simplex Infrastructures Limited,,
1174,511742,UGRO CAPITAL LIMITED,,
1175,505800,Rane Holdings Ltd.,,
1176,543260,STOVE KRAFT LIMITED,,
1177,532240,India Nippon Electricals Ltd,,
1178,540048,S.P. Apparels Limited,,
1179,530075,Antelopus Selan Energy Limited,,
1180,543386,Fino Payments Bank Limited,,
1181,543953,Khazanchi Jewellers Limited,,
1182,543411,HI-TECH PIPES LIMITED,,
1183,508814,Cosmo First Limited,,
1184,539682,Mobavenue AI Tech Limited,,
1185,543514,Veranda Learning Solutions Limited,,
1186,543230,ADVAIT ENERGY TRANSITIONS LIMITED,,
1187,517041,Ador Welding Ltd.,,
1188,500068,Disa India Ltd.,,
1189,541403,Dollar Industries Limited,,
1190,541167,YASHO INDUSTRIES LIMITED,,
1191,532848,Delta Corp Limited,,
1192,544198,DEE DEVELOPMENT ENGINEERS LIMITED,,
1193,542759,Spandana Sphoorty Financial Limited,,
1194,543644,InfoBeans Technologies Limited,,
1195,538891,MAGELLANIC CLOUD LIMITED,,
1196,544271,Garuda Construction and Engineering Limited,,
1197,524820,Panama Petrochem Ltd.,,
1198,544413,Digitide Solutions Limited,,
1199,544305,One Mobikwik Systems Limited,,
1200,543329,Windlas Biotech Limited,,
1201,531548,Somany Ceramics Limited,,
1202,539404,SATIN CREDITCARE NETWORK LIMITED,,
1203,507526,Associated Alcohols & Breweries Ltd,,
1204,522195,Frontier Springs Ltd.,,
1205,505725,ALGOQUANT FINTECH LIMITED,,
1206,505160,Talbros Automotive Components Ltd.,,
1207,543711,Sula Vineyards Limited,,
1208,532717,Indo Tech Transformers Limited,,
1209,532888,ASIAN GRANITO INDIA LIMITED,,
1210,544107,BLS E-Services Limited,,
1211,522261,Dolphin Offshore Enterprises (India) ltd.,,
1212,505196,TIL Ltd.,,
1213,531179,Arman Financial Services Limited,,
1214,544217,SANSTAR LIMITED,,
1215,544479,ALL TIME PLASTICS LIMITED,,
1216,531717,Vidhi Specialty Food Ingredients Limited,,
1217,532485,Balmer Lawrie Investments Ltd.,,
1218,544342,Stallion India Fluorochemicals Limited,,
1219,504112,Nelco Ltd,,
1220,540124,G N A Axles Limited,,
1221,520008,RICO Auto Industries Ltd.,,
1222,502450,Seshasayee Paper & Boards Ltd.,,
1223,543977,Rishabh Instruments Limited,,
1224,535136,NIBE LIMITED,,
1225,514211,Sumeet Industries Ltd,,
1226,500117,DCW Ltd.,,
1227,513307,BELDING INDIA LIMITED,,
1228,540795,Dynamic Cables Limited,,
1229,543263,SMC Global Securities Limited,,
1230,542012,A-1 LIMITED,,
1231,532775,GTL Infrastructure Limited,,
1232,533303,BF Investment Limited,,
1233,517035,RIR POWER ELECTRONICS LIMITED,,
1234,540718,AAYUSH ART AND BULLION LIMITED,,
1235,511034,Jindal Drilling & Industries Ltd.,,
1236,517015,Vindhya Telelinks Ltd.,,
1237,530927,Haryana Financial Corporation ltd.,,
1238,543766,Ashika Credit Capital Ltd.,,
1239,544037,Amic Forging Limited,,
1240,531761,APOLLO PIPES LIMITED,,
1241,533146,D-Link (India) Ltd,,
1242,544133,EXICOM TELE-SYSTEMS LIMITED,,
1243,533138,ASTEC LIFESCIENCES LIMITED,,
1244,532945,SEPC LIMITED,,
1245,543525,Silver Touch Technologies Limited,,
1246,539332,Navkar Corporation Limited,,
1247,509820,HUHTAMAKI INDIA LIMITED,,
1248,505412,Wendt (India) Ltd.,,
1249,543331,Meghmani Organics Limited,,
1250,532705,Jagran Prakashan Limited,,
1251,526506,Systematix Corporate Services Ltd.,,
1252,506109,Genesys International Corporation Ltd.,,
1253,544459,SHANTI GOLD INTERNATIONAL LIMITED,,
1254,504000,Elpro International Ltd.,,
1255,507912,GYFTR LIMITED,,
1256,544235,Orient Technologies Limited,,
1257,508929,AVISHKAR INFRA REALTY LIMITED,,
1258,540642,Salasar Techno Engineering Limited,,
1259,543279,Suryoday Small Finance Bank Limited,,
1260,544293,SURAKSHA DIAGNOSTIC LIMITED,,
1261,539636,Precision Camshafts Limited,,
1262,544279,Godavari Biorefineries Limited,,
1263,544748,ONE POINT ONE SOLUTIONS LIMITED,,
1264,544053,Motisons Jewellers Limited,,
1265,544138,J.G.Chemicals Limited,,
1266,506480,GOCL Corporation Limited,,
1267,532366,PNB Gilts Ltd,,
1268,506618,Punjab Chemicals and Crop Protection Ltd.,,
1269,544167,JNK India Limited,,
1270,542725,SBC EXPORTS LIMITED,,
1271,544743,Amir Chand Jagdish Kumar (Exports) Limited,,
1272,544523,IVALUE INFOSOLUTIONS LIMITED,,
1273,533137,DEN Networks Limited,,
1274,507878,Unitech Ltd.,,
1275,533121,EXPLEO SOLUTIONS LIMITED,,
1276,532749,Allcargo Logistics Ltd,,
1277,544448,Pashupati Cotspin Limited,,
1278,505526,DOLAT ALGOTECH LIMITED,,
